账号,内容,时间,转发数,评论数
丁香妈妈App,【水太深！给孩子买保险，这 4 大坑千万别踩】孩子的养育的过程中，总是充满各种不确定和担忧：孩子遇到意外怎么办？孩子得重病怎么办？每一次媒体爆出类似罗一笑、王凤雅这些孩子被查出重病的事件，很多家长心里就开始打鼓：还是给孩子买保险吧，万一呢？但在保险行业从业十余年的宋润华老师却说，没做好功课之前，不要轻易为孩子保险，这是为什么呢？转发出去！避免更多的宝爸宝妈踩坑！收起全文d,01月11日 18:29, 转发 105,评论 23
弱水N千,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。干瘦0109。以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,01月09日 02:57, 转发 ,评论 
此号码被盗-----,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,01月07日 04:34, 转发 ,评论 
楚天帮忙网,陈岚实名报警该不该吃官司？请法院普法！#作家陈岚向小凤雅妈妈再次道歉#4月9日，陈岚据志愿者信息，发微博“实名报警”，质疑女童王凤雅家长“利用孩子病情筹款却消极治疗”，疑似把善款“挪用给其弟治唇裂，重男轻女，涉嫌诈捐”。4天后二次微博报警，称前去救助的公益人员遭王凤雅家属施暴。报警难免有不准确的地方，又没蓄意造谣，难道这也要吃官司，法院这样判案岂不是说以后疑似的警情就不要多管闲事收起全文d,01月04日 00:30, 转发 ,评论 
少管王老武,#小未普法#【网络不是法外之地！王凤雅亲属诉陈岚案一审宣判】2日下午，河南女童王凤雅亲属起诉作家陈岚侵犯名誉权一案在上海市闵行区人民法院一审宣判。法院认为，陈岚的部分言论产生名誉侵权事实，判令其向原告赔礼道歉，并予以赔偿。尊重表达者的合法言论，也捍卫每位公民的名誉与尊严，法律为一切合法权益保驾护航！L一手video的秒拍视频#陈岚被判向眼癌去世女童母亲道歉#收起全文d,2019年12月04日 20:40, 转发 ,评论 
对饮于江湖,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
楚天帮忙詹凤,陈岚实名报警该不该吃官司？请法院普法！#作家陈岚向小凤雅妈妈再次道歉#4月9日，陈岚据志愿者信息，发微博“实名报警”，质疑女童王凤雅家长“利用孩子病情筹款却消极治疗”，疑似把善款“挪用给其弟治唇裂，重男轻女，涉嫌诈捐”。4天后二次微博报警，称前去救助的公益人员遭王凤雅家属施暴。报警难免有不准确的地方，又没蓄意造谣，难道这也要吃官司，法院这样判案岂不是说以后疑似的警情就不要多管闲事收起全文d,01月02日 23:25, 转发 ,评论 1
箬雪辞霜,"#案件播报#【#小凤雅家属诉陈岚案一审宣判#】 身患眼癌的女童王某的祖父王太友、母亲杨美芹诉网络“大V”陈岚的名誉权纠纷备受社会关注。2019年12月2日下午，上海市闵行区人民法院对该案进行一审判决，法院认定被告发布的部分言论构成名誉侵权，判令被告在其实名认证的@作家陈岚新浪微博中向原告杨美芹书面赔礼道歉，并赔偿原告杨美芹精神损害抚慰金5,000元、律师费5,000元，驳回原告王太友的全部诉讼请求和杨美芹的其他诉讼请求。L人民法院报的微博视频收起全文d",2019年12月02日 23:40, 转发 ,评论 
少管王老武,#小未普法#【网络不是法外之地！王凤雅亲属诉陈岚案一审宣判】2日下午，河南女童王凤雅亲属起诉作家陈岚侵犯名誉权一案在上海市闵行区人民法院一审宣判。法院认为，陈岚的部分言论产生名誉侵权事实，判令其向原告赔礼道歉，并予以赔偿。尊重表达者的合法言论，也捍卫每位公民的名誉与尊严，法律为一切合法权益保驾护航！L一手video的秒拍视频#陈岚被判向眼癌去世女童母亲道歉#收起全文d,2019年12月02日 21:18, 转发 ,评论 
战士备用,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
Tancocoman,uds951 【败诉后#陈岚称将起诉小凤雅母亲#小凤雅家属：奉陪到底】12月2日下午，王凤雅家属诉陈岚名誉权纠纷案在上海市闵行区人民法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金5000元和律师费5000元。陈岚发微博回应称，将起诉王凤雅母亲...全文：O网页链接收起全文d,2019年12月30日 20:11, 转发 ,评论 
我家西皮超甜der,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
我家西皮超甜der,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
我说我评o,陈岚实名报警该不该吃官司？请法院普法！#作家陈岚向小凤雅妈妈再次道歉#4月9日，陈岚据志愿者信息，发微博“实名报警”，质疑女童王凤雅家长“利用孩子病情筹款却消极治疗”，疑似把善款“挪用给其弟治唇裂，重男轻女，涉嫌诈捐”。4天后二次微博报警，称前去救助的公益人员遭王凤雅家属施暴。报警难免有不准确的地方，又没蓄意造谣，难道这也要吃官司，法院这样判案岂不是说以后疑似的警情就不要多管闲事O作家陈岚发文向小凤雅妈妈道歉：未经核实发布不实消息收起全文d,2019年12月30日 17:06, 转发 19,评论 19
Eric321小丫头-,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
澳门-时空,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 1,评论 
摆渡人生摆渡凡人,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
正义难伸张,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 2,评论 
